epoch,loss,mse,val_loss,val_mse
0,0.19280458992517305,0.1928046,0.3286103434287585,0.32968438
1,0.03818551505094116,0.038185515,0.33573465851637035,0.3368669
2,0.029244718523382566,0.029244717,0.17786301099337065,0.17829183
3,0.026265232005496304,0.026265223,0.07735608647075984,0.07684398
4,0.023910920974869517,0.023910921,0.0699631659170756,0.06943744
5,0.020326608409992078,0.020326607,0.07269457971247342,0.07172232
6,0.01732673204561748,0.017326737,0.1504951328612291,0.1489887
7,0.012550549778489314,0.012550551,0.06056256420337237,0.059768766
8,0.012809879883555668,0.012809882,0.04321892731464826,0.042907983
9,0.01119821000514108,0.011198207,0.03912012493954255,0.038485013
10,0.010942969472922311,0.010942972,0.01611373208176631,0.01567554
11,0.009904012386841717,0.009904011,0.015766541115366496,0.015341733
12,0.010298425995388402,0.010298424,0.01578342602946437,0.015518207
13,0.010114933777504985,0.010114936,0.020080876608307544,0.019655192
14,0.008827448572719502,0.008827452,0.009816690965985449,0.0094620995
15,0.007490598105966024,0.0074906005,0.010173983074939595,0.009729258
16,0.007428131896711567,0.007428133,0.026417282409965992,0.025793653
17,0.006855273090613456,0.0068552736,0.010497221884389337,0.010310722
18,0.006624111948346748,0.00662411,0.008173278470237095,0.007905258
19,0.00612400721789314,0.006124005,0.007630750080212378,0.0072963126
20,0.0057693842670193335,0.005769385,0.014134697848930955,0.013554405
21,0.00577998251366515,0.005779983,0.0238516518774514,0.023392733
22,0.0056766842124897935,0.005676685,0.009905240211922389,0.009571269
23,0.0054817405774146965,0.005481742,0.01006096014036582,0.009545024
24,0.005036704110432496,0.005036706,0.012204923156577233,0.0117164925
25,0.005025080984026682,0.005025083,0.012649581364642542,0.0121792
26,0.005087629239451723,0.0050876294,0.010182442286839852,0.009760745
27,0.00509279603379554,0.0050927955,0.011282227503565641,0.010841081
28,0.004963333298429166,0.0049633333,0.010338511103047775,0.009947588
29,0.00518509484360471,0.005185093,0.008903230424039066,0.008580781
